frame_id,timestamp_s,track_id,label,x,y,raw_x,raw_y,conf
0,0.0,1,vehicle,1546,742,1546,742,0.94
0,0.0,2,vehicle,452,763,452,763,0.932
0,0.0,3,vehicle,1220,701,1220,701,0.926
0,0.0,4,vehicle,997,829,997,829,0.922
0,0.0,5,vehicle,354,683,354,683,0.916
0,0.0,6,vehicle,786,462,786,462,0.898
0,0.0,7,vehicle,326,415,326,415,0.893
0,0.0,8,vehicle,1775,1057,1775,1057,0.893
0,0.0,9,vehicle,734,579,734,579,0.871
0,0.0,10,vehicle,1032,582,1031,582,0.863
0,0.0,11,person,354,896,354,896,0.845
0,0.0,12,vehicle,1572,464,1572,464,0.814
0,0.0,13,vehicle,1458,263,1458,263,0.788
0,0.0,14,person,922,714,922,714,0.788
0,0.0,15,vehicle,914,982,914,982,0.766
0,0.0,16,vehicle,65,718,65,718,0.763
0,0.0,17,person,1284,952,1283,952,0.759
0,0.0,18,vehicle,57,468,57,468,0.749
0,0.0,19,person,1328,475,1328,475,0.731
0,0.0,20,person,1396,351,1396,351,0.724
0,0.0,21,person,832,745,832,745,0.717
0,0.0,22,vehicle,1410,193,1410,193,0.717
0,0.0,23,person,572,800,572,800,0.708
0,0.0,24,person,294,320,294,320,0.689
0,0.0,25,vehicle,921,337,921,337,0.653
0,0.0,26,person,378,297,378,297,0.608
0,0.0,27,person,493,798,493,798,0.599
0,0.0,28,person,1074,507,1073,507,0.593
0,0.0,29,person,638,764,637,764,0.57
0,0.0,30,person,1227,1057,1227,1057,0.56
0,0.0,31,person,677,694,677,694,0.554
0,0.0,32,person,910,911,910,911,0.548
0,0.0,33,vehicle,853,1079,853,1079,0.523
0,0.0,34,person,302,246,302,246,0.501
0,0.0,35,person,1050,494,1049,494,0.495
0,0.0,36,person,956,727,955,727,0.492
0,0.0,37,person,971,361,971,361,0.472
0,0.0,38,person,602,707,601,707,0.47
0,0.0,39,vehicle,547,223,547,223,0.468
0,0.0,40,person,980,458,980,458,0.444
0,0.0,41,person,1064,372,1063,372,0.444
0,0.0,42,person,1685,516,1685,516,0.421
0,0.0,43,person,1180,428,1179,428,0.419
0,0.0,44,person,846,546,846,546,0.419
0,0.0,45,person,1392,891,1392,891,0.401
0,0.0,46,person,1098,412,1097,412,0.397
0,0.0,47,person,1134,312,1134,312,0.395
0,0.0,48,person,1671,246,1671,246,0.35
0,0.0,49,person,1635,516,1635,516,0.35
0,0.0,50,vehicle,1054,1079,1054,1079,0.342
0,0.0,51,vehicle,1610,304,1610,304,0.328
0,0.0,52,person,1004,464,1004,464,0.316
0,0.0,53,person,1638,234,1637,234,0.308
1,0.033,1,vehicle,1546,742,1551,745,0.939
1,0.033,2,vehicle,452,763,449,766,0.934
1,0.033,3,vehicle,1220,701,1222,703,0.925
1,0.033,4,vehicle,997,829,1000,828,0.923
1,0.033,5,vehicle,354,683,356,683,0.91
1,0.033,6,vehicle,786,462,785,463,0.896
1,0.033,7,vehicle,327,415,331,412,0.893
1,0.033,8,vehicle,1775,1057,1778,1057,0.868
1,0.033,9,vehicle,734,579,731,577,0.851
1,0.033,10,vehicle,1032,582,1032,582,0.868
1,0.033,11,person,354,896,352,896,0.842
1,0.033,12,vehicle,1572,464,1572,464,0.811
1,0.033,13,vehicle,1458,263,1458,264,0.79
1,0.033,14,person,922,714,920,715,0.746
1,0.033,15,vehicle,915,982,923,981,0.726
1,0.033,16,vehicle,65,718,67,716,0.723
1,0.033,17,person,1284,952,1284,952,0.775
1,0.033,18,vehicle,57,468,58,471,0.817
1,0.033,19,person,1328,475,1327,476,0.75
1,0.033,20,person,1396,351,1394,351,0.629
1,0.033,21,person,832,745,830,746,0.766
1,0.033,22,vehicle,1410,193,1410,193,0.713
1,0.033,23,person,572,801,572,806,0.664
1,0.033,24,person,295,320,295,319,0.628
1,0.033,25,vehicle,921,337,920,336,0.547
1,0.033,26,person,378,297,378,299,0.605
1,0.033,27,person,492,798,488,803,0.478
1,0.033,28,person,1073,507,1072,507,0.57
1,0.033,29,person,637,764,637,765,0.479
1,0.033,30,person,1227,1057,1227,1057,0.502
1,0.033,31,person,677,694,675,695,0.644
1,0.033,32,person,910,911,910,910,0.701
1,0.033,33,vehicle,853,1079,853,1079,0.36
1,0.033,34,person,302,246,301,246,0.541
1,0.033,35,person,1049,494,1048,495,0.441
1,0.033,36,person,955,727,953,727,0.446
1,0.033,37,person,971,361,971,363,0.455
1,0.033,38,person,601,707,599,709,0.576
1,0.033,39,vehicle,547,223,548,221,0.4
1,0.033,40,person,980,458,979,460,0.445
1,0.033,41,person,1064,372,1063,372,0.399
1,0.033,42,person,1685,516,1684,516,0.428
1,0.033,43,person,1179,428,1179,430,0.447
1,0.033,44,person,846,546,845,546,0.403
1,0.033,45,person,1393,891,1397,893,0.438
1,0.033,46,person,1098,412,1098,412,0.406
1,0.033,47,person,1134,312,1134,315,0.407
1,0.033,48,person,1671,246,1671,246,0.327
1,0.033,49,person,1635,516,1635,516,0.35
1,0.033,51,vehicle,1610,304,1609,304,0.318
2,0.067,1,vehicle,1548,743,1557,748,0.933
2,0.067,2,vehicle,452,764,446,769,0.94
2,0.067,3,vehicle,1221,702,1224,706,0.932
2,0.067,4,vehicle,998,829,1002,826,0.924
2,0.067,5,vehicle,355,683,358,682,0.911
2,0.067,6,vehicle,786,462,784,465,0.897
